Blog	four	looking	second	here	reported	k	music	until	example	want	feature	series	re	written	wasn	service	project	tech	saying	release	best	country	asked	much	life	things	had	possible	right	old	fox	continue	o	support	happy	offer	back	inside	time	leave	team	love	working	such	data	years	didn	internet	million	quite	open	city	future	san	turned	say	take	drive	ways	going	where	many	wants	photos	technology	being	around	world	power	industry	favorite	image	her	site	am	original	tv	th	large	small	past	hours	experience	social	via	company	science	states	its	always	found	really	major	number	guess	self	also	play	cover	set	see	movie	let	whole	community	recent	person	using	readers	couple	d	link	line	us	ago	land	age	came	having	results	young	send	try	video	great	makes	tools	next	process	high	doing	books	could	put	start	system	haven	face	fact	should	hope	means	stuff	email	ve	off	less	paul	web	five	become	does	problem	worth	told	work	interview	after	order	office	then	them	network	created	another	john	do	away	com	easy	voice	hand	photo	thanks	night	security	comments	marketing	post	months	way	true	reality	update	together	p	change	market	live	car	write	use	remember	still	non	january	space	shows	care	friend	than	online	america	only	between	article	comes	learning	language	these	media	thinking	real	read	early	business	lot	building	since	month	very	family	ask	help	soon	actually	event	american	pretty	during	x	close	won	probably	both	whatever	else	lives	look	while	smart	ready	used	game	computer	doesn	e	youtube	go	facebook	products	camera	started	meet	links	software	including	front	times	final	need	able	based	course	she	state	key	police	well	reasons	martin	page	twitter	home	monday	he	piece	star	amp	companies	across	even	ever	never	luther	call	tell	give	answer	president	before	personal	better	went	side	content	isn	user	features	matter	seen	don	m	stop	bad	said	against	appeared	three	website	make	left	human	yet	save	deal	popular	down	digital	weekend	daily	finally	me	did	run	making	may	man	maybe	talk	nbsp	group	interesting	living	thing	think	little	anyone	were	especially	shot	show	behind	get	morning	enough	reading	jr	according	mark	those	sound	different	pay	same	speech	money	images	users	videos	again	important	u	public	search	published	two	hour	share	needs	maps	coming	through	good	everyone	house	hard	idea	done	least	part	believe	b	built	build	most	please	mean	point	simple	create	meeting	understand	fun	itself	spent	spend	big	bit	google	often	forward	single	giving	others	private	something	ll	day	text	taking	almost	helped	center	thought	latest	add	happens	buy	brand	minutes	special	under	every	would	phone	must	keep	end	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	amazon	despite	report	full	news	several	everything	donald	no	focus	cool	level	posts	says	goes	today	trump	information	happened	name	turn	place	white	any	ideas	sure	later	hear	review	come	case	myself	someone	events	week	without	blog	oh	racist	chinese	follow	program	woman	far	list	ten	design	version	rather	short	might	health	feel	story	store	king	kind	nothing	his	him	wrote	art	recently	attention	questions	customers	question	long	called	nice	once	find	apple	app	few	women	six	instead	light	looks	product	related	our	york	conversation	which	who	why	words	view	stories	job	last	gets	book	know	because	lead	getting	own	friends	apps	made	whether	other
ProBlogger	0	1	0	1	0	0	0	0	0	3	2	12	8	1	0	0	2	9	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	6	0	0	0	1	2	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	5	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	6	0	3	0	0	6	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	2	0	0	0	3	3	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	13	1	2	2	5	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0	2	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	1	0	20	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	7	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	3	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	10	0	1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	23	0	0	0	1	6	0	1	0	0	0	1	0	0	1	0	0	3	1	0	0	1	0	6	0	0	0	2	0	16	0	0	1	2	2	2	0	16	1	2	0	0	0	0	0	0	0	0	0	1	0	1
SimpleBits	0	2	5	5	0	0	0	0	0	0	0	1	2	2	1	0	0	1	0	0	2	0	0	2	1	4	2	1	0	2	0	0	0	2	0	0	3	1	7	0	2	1	0	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	6	0	0	0	0	3	2	0	0	1	0	6	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0	2	0	0	4	0	2	0	2	0	1	0	1	0	0	0	0	2	1	0	2	0	0	1	3	2	0	0	3	1	0	0	0	2	1	2	1	0	6	2	1	0	2	1	1	0	0	0	0	6	0	2	0	0	2	3	0	0	2	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	1	0	1	0	1	0	3	2	2	3	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	4	0	1	1	0	1	2	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	2	6	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	1	6	0	0	2	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	6	2	0	0	0	0	0	1	0	0	0	0	0	0	3	1	1	2	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	1	3	0	0	0	0	0	1	1	0	0	0	1	2	0	0	1	0	0	2	0	2	1	1	0	1	2	0	0	2	1	0	0	0	1	8	1	5	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	1	0	5	0	0	0	0	0	1	3	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	2	4	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	3	1	8	1	0	0	2	0	0	0	2	0	3
RSS feed – Search Engine Watch	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Steve Pavlina	0	1	0	1	0	4	0	0	0	4	2	0	1	0	0	2	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	1	0	1	0	0	2	3	0	0	0	1	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	3	0	3	1	0	0	0	0	0	0	1	0	0	0	1	11	1	1	0	4	1	2	4	0	1	0	2	0	0	0	0	1	0	0	0	2	8	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	3	0	0	7	0	1	0	0	0	0	0	0	0	0	0	20	1	0	0	3	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	2	5	0	2	1	0	1	0	0	0	0	0	1	0	1	3	1	1	2	1	1	0	1	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	0	0	4	0	0	1	0	2	1	5	0	0	0	0	1	2	1	0	0	4	0	0	3	0	3	23	2	1	0	0	0	0	0	0	0	2	5	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	1	1	0	0	9	0	0	0	0	0	0	0	3	1	3	2	0	0	2	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	9	0	7	3	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	0	2	0	0	0	4	0	0	2	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	8	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	17	2	5	0	0	2	1	0	0	0	0	0	4	0	0	5	1	0	1	1	0	0	0	0	1
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	3	0	0	1	0	0	0	0	0	1	0	0	3	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	6	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Eschaton	0	2	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	2	0	0	3	2	0	0	0	2	0	0	0	4	0	0	2	0	3	0	1	1	0	1	1	0	3	3	0	0	3	3	0	1	2	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	5	3	0	2	0	0	0	0	2	0	0	1	2	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	2	0	1	2	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	2	2	0	1	2	1	2	0	2	0	5	0	0	1	0	5	3	1	0	0	2	0	1	1	0	2	0	1	0	3	0	1	0	0	0	1	0	0	3	0	0	1	1	0	1	1	0	0	0	5	0	0	2	0	0	0	0	0	5	3	0	0	0	0	1	0	0	0	2	2	2	0	1	0	1	0	1	2	1	1	0	1	2	0	1	0	0	1	0	2	0	1	0	0	3	0	0	5	2	0	0	0	1	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	8	1	0	0	1	0	7	1	0	0	0	1	1	0	8	0	0	1	1	1	0	8	0	0	0	1	2	3	0	2	5	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	4	0	2	0	1	1	0	0	0	1	1	0	2	3	0	0	1	1	0	0	0	7	1	3	0	0	3	0	2	0	0	1	1	1	2	0	0	0	0	0	0	5	0	0	1	2	1	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	4	0	1	0	0	0	0	0	1	0	0	0	1	2	0	3	6	1	0	1	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	1	0	3	0	0	1	1	0	1	0	0	1	0	0	3	0	0	0	0	0	0	2	0	5	1	0	0	1	0	0	0	0	1	2	1	0	5	0	0	2	0	0	0	1	0	0	0	1	3	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	4	0	1	2	0	0	1	0	0	0	0	1	0	0	1	1	0	2	5	3	0	2	0	1	3	0	0	1	1	1	1	0	0	0	1	0	2
PerezHilton	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	7	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	6	0	0	2	0	0	0	0	2	3	2	4	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	2
Tech Blog	0	0	1	2	0	3	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	4	1	1	3	1	4	2	2	0	0	0	2	2	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	1	2	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	6	0	1	1	0	0	0	0	0	5	0	1	2	0	0	0	0	0	3	0	0	0	0	1	0	3	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	2	0	1	0	1	0	0	2	0	0	0	0	0	1	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	3	0	0	1	0	0	0	2	1	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	1	0	3	0	0	10	0	0	0	1	0	0	1	0	0	0	4	1	2	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	8	0	6	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	1	1	0	3	0	1	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1
Slashdot	0	1	0	1	2	0	12	1	1	2	3	1	0	0	0	6	2	0	1	0	2	0	0	2	0	0	8	2	0	5	0	2	0	0	0	2	6	2	3	0	1	0	0	2	5	7	1	8	0	0	0	3	1	0	0	4	3	1	1	0	3	3	1	0	0	1	5	1	3	2	0	1	0	7	0	0	0	0	1	1	1	0	0	3	0	11	2	1	10	1	3	0	5	1	0	0	7	0	0	3	1	0	1	0	3	2	2	3	0	0	0	1	0	0	3	1	1	1	0	1	1	0	0	0	1	1	0	2	2	2	0	0	6	1	1	1	0	0	0	1	1	0	0	0	0	1	5	0	0	1	3	0	0	0	2	1	0	9	2	1	2	4	1	0	0	1	3	0	2	0	1	1	0	0	0	1	0	0	1	2	0	0	0	2	0	5	1	2	0	0	0	3	0	2	0	0	12	0	0	0	9	1	1	4	5	2	1	0	0	1	1	0	1	15	2	0	0	0	6	1	4	0	0	1	1	3	1	2	0	0	0	1	0	0	1	0	0	0	1	3	1	1	5	0	2	3	1	2	1	0	0	0	1	0	0	5	1	1	0	0	1	4	2	0	0	0	0	2	1	0	0	0	0	1	4	3	0	2	3	3	1	3	0	0	0	1	0	1	0	0	3	2	1	0	3	1	2	3	1	2	0	1	0	0	0	5	1	0	1	4	2	0	0	0	0	0	1	4	0	1	0	1	2	2	2	0	7	6	0	0	0	3	1	0	0	1	0	0	7	1	0	1	0	2	0	0	0	0	4	0	6	1	1	0	0	0	0	0	3	0	0	0	10	1	1	1	2	1	1	0	2	0	1	1	0	0	0	0	0	1	3	1	0	1	0	5	0	0	1	0	2	1	0	1	0	0	0	0	0	10	1	0	2	1	0	6	0	1	1	0	2	1	0	3	0	2	0	0	0	0	0	1	0	1	4	0	1	2	4	0	0	2	0	0	2	2	0	2	2	0	0	1	0	0	18	1	0	0	1	0	0	0	0	4	0	3	1	3	0	5	0	0	0	1	0	2	0	1	1	2	0	0	2	0	2	0	2	1	0	0	0	4	1	2	0	2	0	1	0	2	0	0	2	1	1	15	0	0	0	0	6	0	0	3	2	0	1	4	0	0	4	0	2	1	4	8	0	2	0	2	4	0	0	2	0	0	0	12	6	2	2	1	0	0	2	1	0	1	1	0	1	1	0	0	2	2	4
Matt Cutts: Gadgets, Google, and SEO	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	4	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	4	1	0	0	3	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	4	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	1	1	0	3	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	2	1	0	0	0	0	1	2	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1	0	0	0	1	0	0	1	0
MichelleMalkin.com	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
